City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bandar lampung,-5.4254,105.258,29.86,64,65,4.33,ID,1730110203
1,st. john's,47.5649,-52.7093,3.32,91,22,1.34,CA,1730109877
2,waitangi,-43.9535,-176.5597,11.57,95,0,2.68,NZ,1730109784
3,avarua,-21.2078,-159.775,22.03,73,20,2.57,CK,1730109735
4,edinburgh of the seven seas,-37.0676,-12.3116,14.97,86,96,10.79,SH,1730109816
5,grytviken,-54.2811,-36.5092,-1.93,84,93,1.5,GS,1730109817
6,adamstown,-25.066,-130.1015,20.96,79,99,3.12,PN,1730109813
7,rikaze,29.25,88.8833,17.52,7,0,2.0,CN,1730110212
8,nyurba,63.2842,118.3319,-10.17,96,100,2.19,RU,1730110218
9,marvejols,44.5538,3.2914,16.85,73,40,1.79,FR,1730110220
10,grand falls-windsor,48.9332,-55.6649,-0.83,89,28,4.31,CA,1730109608
11,port-aux-francais,-49.35,70.2167,3.1,77,100,13.9,TF,1730109789
12,puerto ayora,-0.7393,-90.3518,20.31,95,93,0.45,EC,1730109867
13,tazovsky,67.4667,78.7,-1.44,97,100,4.55,RU,1730110225
14,sumbawa besar,-8.5,117.4333,29.23,62,8,2.09,ID,1730110227
15,tiksi,71.6872,128.8694,-17.08,99,100,1.23,RU,1730109849
16,ushuaia,-54.8,-68.3,4.31,96,100,3.14,AR,1730109840
17,vorgashor,67.5833,63.95,-1.44,95,99,4.69,RU,1730110059
18,constantia,44.1833,28.65,17.61,40,70,3.39,RO,1730109829
19,port augusta,-32.5,137.7667,17.16,68,0,8.18,AU,1730110233
20,qaqortoq,60.7167,-46.0333,-0.03,93,100,2.64,GL,1730109791
21,zahedan,29.4963,60.8629,21.95,33,0,2.06,IR,1730110235
22,talnakh,69.4865,88.3972,-7.68,95,100,5.21,RU,1730109941
23,puerto natales,-51.7236,-72.4875,8.03,87,100,8.1,CL,1730109802
24,katsuura,35.1333,140.3,19.01,86,100,5.4,JP,1730110240
25,san patricio,28.017,-97.5169,24.94,90,7,2.43,US,1730110241
26,bredasdorp,-34.5322,20.0403,17.95,80,100,9.63,ZA,1730109925
27,dudinka,69.4058,86.1778,-6.41,95,100,7.54,RU,1730110244
28,vilyuchinsk,52.9306,158.4028,2.08,69,100,2.04,RU,1730109858
29,kangding,30.0513,101.9603,11.75,83,57,2.11,CN,1730110246
30,yellowknife,62.456,-114.3525,-0.88,100,100,5.14,CA,1730109838
31,port lincoln,-34.7333,135.8667,13.87,77,0,5.6,AU,1730110134
32,ivdel',60.6911,60.4206,3.16,67,19,1.39,RU,1730110250
33,college,64.8569,-147.8028,-15.86,81,20,3.6,US,1730109992
34,nuuk,64.1835,-51.7216,-3.66,80,20,2.57,GL,1730110252
35,ovalle,-30.5983,-71.2003,15.53,73,0,0.91,CL,1730110254
36,eyl,7.9803,49.8164,30.75,56,20,4.85,SO,1730110255
37,biloli,18.7667,77.7333,28.7,58,70,2.56,IN,1730110256
38,nemuro,43.3236,145.575,8.88,68,75,10.54,JP,1730109498
39,bethel,41.3712,-73.414,5.58,69,16,1.94,US,1730109830
40,ust-nera,64.5667,143.2,-22.44,99,63,1.3,RU,1730109948
41,georgetown,5.4112,100.3354,26.64,94,40,2.06,MY,1730110261
42,villa tecolutilla,18.2833,-93.3167,22.97,92,99,0.97,MX,1730110262
43,pitimbu,-7.4706,-34.8086,26.42,70,97,6.96,BR,1730110264
44,celestun,20.8667,-90.4,24.02,89,91,4.37,MX,1730110265
45,weno,7.4515,151.8468,29.22,70,12,2.14,FM,1730110266
46,hermanus,-34.4187,19.2345,17.11,83,47,7.41,ZA,1730109786
47,zheleznodorozhnyy,55.7503,38.0042,8.53,68,34,3.43,RU,1730110268
48,laguna,38.421,-121.4238,14.11,81,0,3.6,US,1730109982
49,santa ana de yacuma,-13.75,-65.4333,21.61,77,67,1.87,BO,1730110271
50,castellarano,44.5131,10.7329,18.58,97,98,0.79,IT,1730110275
51,bayji,34.9311,43.487,26.08,13,0,5.17,IQ,1730110276
52,kendari,-3.945,122.4989,26.79,80,58,2.0,ID,1730110067
53,ugoofaaru,5.6667,73.0,27.57,83,36,8.13,MV,1730110279
54,stanley,54.868,-1.6985,15.44,87,75,4.12,GB,1730109866
55,oeiras do para,-2.0031,-49.8544,24.12,83,76,1.69,BR,1730110282
56,longyearbyen,78.2186,15.6401,-6.09,100,20,3.09,SJ,1730109873
57,albany,42.6001,-73.9662,3.38,71,72,0.45,US,1730109949
58,iqaluit,63.7506,-68.5145,-9.61,78,24,2.68,CA,1730109886
59,novo aripuana,-5.1206,-60.3797,22.85,93,62,1.38,BR,1730110287
60,kone,-21.0595,164.8658,22.54,77,50,2.11,NC,1730110288
61,blackmans bay,-43.0167,147.3167,12.07,63,94,4.03,AU,1730109943
62,barranca,-10.75,-77.7667,15.97,92,67,2.15,PE,1730110290
63,luderitz,-26.6481,15.1594,20.52,43,0,9.56,NA,1730110292
64,ben gardane,33.1378,11.2197,27.79,28,100,6.18,TN,1730110293
65,margaret river,-33.95,115.0667,18.82,67,0,4.83,AU,1730109843
66,cockburn town,21.4612,-71.1419,27.87,77,87,8.84,TC,1730110288
67,i-n-salah,27.1935,2.4607,32.24,15,86,7.15,DZ,1730110296
68,chonchi,-42.6128,-73.8092,5.07,98,38,0.93,CL,1730110298
69,kapuskasing,49.4169,-82.4331,-6.0,79,89,1.54,CA,1730110299
70,hanceville,34.0607,-86.7675,15.65,97,3,2.35,US,1730110300
71,xilin hot,43.9667,116.0333,7.82,61,100,3.39,CN,1730110302
72,invercargill,-46.4,168.35,8.34,89,99,3.58,NZ,1730110212
73,amga,60.8953,131.9608,-21.62,100,90,0.57,RU,1730109989
74,severo-yeniseyskiy,60.3725,93.0408,-0.83,99,100,0.59,RU,1730109986
75,petropavlovsk-kamchatsky,53.0452,158.6483,1.44,65,100,2.54,RU,1730110308
76,island harbour,50.724,-1.2758,15.52,68,62,3.13,GB,1730110309
77,retreat,38.8245,-85.8533,3.03,67,2,1.75,US,1730110310
78,port mathurin,-19.6833,63.4167,24.02,74,26,5.43,MU,1730110030
79,kingston,17.997,-76.7936,24.53,94,100,1.74,JM,1730109822
80,bukittinggi,-0.3091,100.3706,24.6,67,92,2.29,ID,1730110314
81,horta,38.5333,-28.6333,19.45,68,75,4.12,PT,1730110315
82,saipan,15.1355,145.701,28.39,89,0,5.14,MP,1730110039
83,tak,16.5833,98.8333,24.59,91,84,0.46,TH,1730110318
84,enewetak,11.3474,162.3373,28.91,78,90,7.51,MH,1730110265
85,hadibu,12.65,54.0333,29.01,63,5,3.23,YE,1730110199
86,west island,-12.1568,96.8225,27.99,78,75,5.66,CC,1730109808
87,rehoboth,-23.3167,17.0833,18.9,18,0,2.82,NA,1730110323
88,malabar,-33.9667,151.25,18.33,72,100,7.72,AU,1730110324
89,akureyri,65.6835,-18.0878,1.96,69,75,1.03,IS,1730110325
90,whitehorse,60.7161,-135.0538,-14.59,99,88,0.61,CA,1730109859
91,kobryn,52.2138,24.3564,10.33,71,86,4.95,BY,1730110327
92,nova sintra,14.8667,-24.7167,22.43,73,100,8.69,CV,1730110329
93,mount isa,-20.7333,139.5,33.87,14,1,4.63,AU,1730110254
94,kuytun,54.3419,101.5036,3.57,89,99,1.74,RU,1730110331
95,doka,13.5167,35.7667,31.69,46,74,0.69,SD,1730110332
96,utrik,11.2278,169.8474,28.42,76,15,0.59,MH,1730109904
97,beyla,8.6833,-8.6333,26.75,68,72,0.95,GN,1730110335
98,hawaiian paradise park,19.5933,-154.9731,23.28,97,75,3.09,US,1730109832
99,inarajan village,13.2736,144.7484,28.55,91,100,5.05,GU,1730110337
100,papatowai,-46.5619,169.4708,7.11,90,87,5.36,NZ,1730109807
101,cortina d'ampezzo,46.5384,12.1377,12.09,75,99,0.82,IT,1730110340
102,yuzhno-kurilsk,44.0306,145.8556,7.96,68,93,11.26,RU,1730110341
103,chegdomyn,51.1167,133.0167,-1.9,78,89,0.55,RU,1730110342
104,ribeira grande,38.5167,-28.7,19.87,59,75,4.12,PT,1730109852
105,les anglais,18.3054,-74.2197,26.2,81,88,1.21,HT,1730110345
106,badger,64.8,-147.5333,-15.91,86,0,3.6,US,1730110044
107,bubaque,11.2833,-15.8333,28.05,75,4,1.88,GW,1730110347
108,bomi,7.2461,-11.5258,28.69,74,92,1.3,SL,1730110349
109,codrington,-38.2667,141.9667,9.66,82,5,3.39,AU,1730110172
110,ati,13.2154,18.3353,35.27,12,6,5.47,TD,1730110351
111,guarapari,-20.6667,-40.4975,22.72,89,100,4.45,BR,1730110055
112,fale old settlement,-9.3852,-171.2468,27.83,75,95,2.2,TK,1730109959
113,udachny,66.4167,112.4,-24.02,100,80,1.24,RU,1730109909
114,bahia honda,22.9036,-83.1592,23.38,88,100,4.63,CU,1730110356
115,isafjordur,66.0755,-23.124,-0.98,93,100,1.03,IS,1730110357
116,cavalaire-sur-mer,43.174,6.5272,22.07,81,14,6.57,FR,1730110358
117,salem,11.65,78.1667,33.11,55,20,1.03,IN,1730110360
118,tchintabaraden,15.8969,5.7985,31.56,13,13,6.41,NE,1730110361
119,keflavik,64.0049,-22.5624,5.08,93,100,5.14,IS,1730109961
120,mazagao,-0.115,-51.2894,23.39,84,100,1.46,BR,1730110363
121,otjimbingwe,-22.35,16.1333,23.17,15,0,5.28,NA,1730110208
122,dongola,19.1667,30.4833,32.19,12,1,5.28,SD,1730110366
123,sao jose da coroa grande,-8.8978,-35.1478,26.52,67,90,5.97,BR,1730110367
124,pacasmayo,-7.4006,-79.5714,17.09,87,100,3.18,PE,1730110368
125,dapa,9.7594,126.0531,28.64,77,100,9.89,PH,1730110369
126,hagenow,53.4333,11.1833,11.76,78,100,4.99,DE,1730110371
127,kishtwar,33.3167,75.7667,24.75,23,75,3.1,IN,1730110372
128,kegen,43.0197,79.2203,-0.66,88,100,2.98,KZ,1730110373
129,cooma,-36.2333,149.1333,8.86,70,49,1.82,AU,1730110374
130,alo,7.4178,6.7371,31.59,58,75,1.35,NG,1730110376
131,kilindoni,-7.9139,39.6668,27.61,75,96,4.15,TZ,1730110377
132,thompson,55.7435,-97.8558,0.09,64,100,4.12,CA,1730110032
133,hithadhoo,-0.6,73.0833,28.26,75,100,5.53,MV,1730110248
134,arraial do cabo,-22.9661,-42.0278,22.12,74,100,4.9,BR,1730109926
135,buraydah,26.326,43.975,24.25,37,40,3.84,SA,1730110382
136,remire-montjoly,4.9167,-52.2667,22.02,100,40,1.03,GF,1730110383
137,cabo san lucas,22.8909,-109.9124,22.61,65,7,3.53,MX,1730110384
138,acajutla,13.5928,-89.8275,25.88,71,100,3.85,SV,1730110386
139,trevelin,-43.0858,-71.4639,3.71,80,100,1.64,AR,1730110387
140,kavaratti,10.5669,72.642,28.12,65,79,2.62,IN,1730110116
141,lompoc,34.6391,-120.4579,14.88,89,100,5.66,US,1730110193
142,zhob,31.3411,69.4481,28.53,16,0,6.75,PK,1730110390
143,aguas vermelhas,-15.7472,-41.46,21.08,71,100,3.23,BR,1730110392
144,lethem,3.3803,-59.7968,25.33,75,100,3.81,GY,1730110292
145,bilibino,68.0546,166.4372,-14.09,86,100,2.16,RU,1730110397
146,aykhal,66.0,111.5,-23.51,100,27,0.91,RU,1730110385
147,usinsk,65.9939,57.5281,0.59,88,56,5.75,RU,1730110399
148,northam,51.0333,-4.2167,15.22,98,100,7.42,GB,1730110400
149,port elizabeth,-33.918,25.5701,19.16,86,40,12.35,ZA,1730110304
150,luza,60.6308,47.2512,5.13,82,100,2.73,RU,1730110403
151,anadyr,64.75,177.4833,-4.72,92,100,6.0,RU,1730109935
152,sao joao da barra,-21.6403,-41.0511,22.05,84,100,2.28,BR,1730110405
153,flying fish cove,-10.4217,105.6791,25.82,83,40,3.09,CX,1730110407
154,chowchilla,37.123,-120.2602,17.23,67,75,4.12,US,1730110408
155,olonkinbyen,70.9221,-8.7187,-2.05,59,94,11.89,SJ,1730110409
156,daru,-9.0763,143.2092,26.55,88,98,4.74,PG,1730110410
157,nar'yan-mar,67.6713,53.087,1.12,80,43,6.44,RU,1730110285
158,trujillo,-8.116,-79.03,15.98,94,75,3.09,PE,1730110413
159,puerto iguazu,-25.5991,-54.5736,21.62,79,0,2.57,AR,1730110414
160,tarnogskiy gorodok,60.4997,43.5761,4.66,68,9,3.66,RU,1730110415
161,susuman,62.7833,148.1667,-17.22,96,100,1.34,RU,1730110417
162,silver city,32.7701,-108.2803,16.28,33,95,1.34,US,1730110418
163,tolanaro,-25.0319,46.9987,31.04,62,20,9.77,MG,1730110419
164,newman,37.3138,-121.0208,17.13,75,46,2.68,US,1730110418
165,el hajeb,33.6879,-5.371,9.06,64,66,1.48,MA,1730110421
166,pisco,-13.7,-76.2167,15.57,88,75,1.54,PE,1730110264
167,port alfred,-33.5906,26.891,18.43,84,77,4.02,ZA,1730110356
168,itaituba,-4.2761,-55.9836,24.2,54,7,0.87,BR,1730110425
169,chichiriviche,10.9333,-68.2772,27.44,86,85,4.78,VE,1730110426
170,jamestown,42.097,-79.2353,3.8,88,0,1.54,US,1730110428
171,qarazhal,48.0078,70.7903,3.36,93,97,8.1,KZ,1730110429
172,ardakan,32.31,54.0175,19.25,26,0,4.26,IR,1730110430
173,huandacareo,19.9833,-101.2833,7.97,93,0,0.85,MX,1730110432
174,abong mbang,3.9833,13.1833,21.79,95,91,0.77,CM,1730110434
175,lihue,21.9789,-159.3672,25.77,85,75,7.72,US,1730110435
176,fiambala,-27.6871,-67.6149,17.73,53,0,0.63,AR,1730110436
177,chernyshevskiy,63.0128,112.4714,-18.24,100,74,1.36,RU,1730110437
178,egilsstadir,65.2653,-14.3948,1.95,69,40,6.69,IS,1730110439
179,pirane,-25.7324,-59.1088,19.19,46,94,1.78,AR,1730110344
180,el calafate,-50.3408,-72.2768,7.2,77,7,6.21,AR,1730110441
181,lyozna,55.0249,30.7956,10.05,86,98,4.21,BY,1730110442
182,port-cartier,50.0334,-66.8654,0.97,66,76,7.65,CA,1730110425
183,antofagasta,-23.65,-70.4,15.6,85,53,1.11,CL,1730110188
184,salalah,17.0151,54.0924,31.05,48,0,3.6,OM,1730110439
185,kodiak,57.79,-152.4072,2.73,87,100,1.54,US,1730110447
186,bugul'ma,54.55,52.8,3.48,56,90,0.46,RU,1730110448
187,ilulissat,69.2167,-51.1,-10.99,52,0,3.09,GL,1730110450
188,praia da vitoria,38.7333,-27.0667,19.14,63,75,4.44,PT,1730110451
189,mchinji,-13.7984,32.8802,34.63,22,99,3.1,MW,1730110452
190,khorugh,37.4897,71.553,8.39,70,98,0.95,TJ,1730110454
191,carnarvon,-24.8667,113.6333,25.45,52,0,11.35,AU,1730110455
192,minas de marcona,-15.2119,-75.1103,12.39,86,33,3.68,PE,1730110456
193,el granada,37.5027,-122.4694,13.46,90,20,0.0,US,1730110457
194,sisimiut,66.9395,-53.6735,-9.23,55,100,3.03,GL,1730110459
195,kursk,51.7303,36.1939,11.11,77,0,2.0,RU,1730110460
196,rongelap,11.1635,166.8941,28.58,76,73,1.26,MH,1730110461
197,liwale,-9.7667,37.9333,29.91,48,90,2.99,TZ,1730110290
198,hassi messaoud,31.6804,6.0729,27.92,34,0,4.63,DZ,1730110464
199,las vegas,36.175,-115.1372,25.79,19,0,8.23,US,1730110465
200,quellon,-43.1167,-73.6167,7.54,89,50,0.98,CL,1730110466
201,weining,26.85,104.2333,13.36,73,98,1.03,CN,1730110417
202,general jose de san martin,-26.5374,-59.3416,17.62,55,87,2.05,AR,1730110298
203,saint-francois,46.4154,3.9054,18.15,82,0,1.03,FR,1730110470
204,picos,-7.0769,-41.4669,28.19,58,6,4.58,BR,1730110471
205,caburan,5.9181,125.6411,27.7,83,61,4.25,PH,1730110472
206,sangkhla buri,15.1555,98.4536,26.66,96,83,0.76,TH,1730110473
207,new norfolk,-42.7826,147.0587,12.18,73,95,2.74,AU,1730110450
208,lata,40.1629,-8.3327,15.48,60,57,2.4,PT,1730110476
209,alice springs,-23.7,133.8833,29.75,11,0,4.12,AU,1730110245
210,holualoa,19.6228,-155.9522,22.91,90,20,1.54,US,1730110478
211,dauphin,51.1494,-100.0502,3.08,81,0,2.57,CA,1730110479
212,bintulu,3.1667,113.0333,30.51,74,31,1.34,MY,1730110308
213,petrozavodsk,61.7849,34.3469,7.7,87,75,4.0,RU,1730110482
214,vadso,70.0744,29.7487,6.49,93,75,3.09,NO,1730110483
215,voss,60.623,6.4229,7.88,94,100,2.11,NO,1730110484
216,alofi,-19.0595,-169.9187,22.94,88,20,3.09,NU,1730110463
217,geraldton,-28.7667,114.6,25.23,44,0,8.75,AU,1730110198
218,pandan,14.0453,124.1694,27.69,81,100,7.48,PH,1730110488
219,atafu village,-8.5421,-172.5159,28.28,73,100,3.3,TK,1730110489
220,boise,43.6135,-116.2035,8.9,85,75,1.54,US,1730110491
221,rabaul,-4.1967,152.1721,28.23,79,62,5.0,PG,1730110492
222,smithers,54.7804,-127.1743,4.18,93,100,2.57,CA,1730110493
223,kapa'a,22.0752,-159.319,26.18,90,75,7.72,US,1730110494
224,atherton,53.5237,-2.4935,15.42,97,100,2.45,GB,1730110496
225,peace river,56.2501,-117.286,1.48,96,100,2.57,CA,1730110497
226,brookings,44.3114,-96.7984,12.43,60,0,6.17,US,1730110498
227,tara,56.8944,74.371,4.05,87,100,2.94,RU,1730110499
228,tura,25.5198,90.2201,26.67,77,3,1.73,IN,1730110501
229,arba minch,6.0333,37.55,25.94,63,56,1.42,ET,1730110502
230,kwang binh,17.4833,106.6,22.78,95,100,10.63,VN,1730110272
231,iskateley,67.6803,53.1512,1.04,80,48,6.44,RU,1730110449
232,ndele,8.4109,20.6473,32.24,31,3,2.65,CF,1730110506
233,port saint john's,-31.6229,29.5448,25.77,45,0,3.81,ZA,1730110334
234,mata-utu,-13.2816,-176.1745,27.45,79,100,8.06,WF,1730110508
235,midar,34.9403,-3.5331,15.58,68,79,2.58,MA,1730110510
236,prince george,53.9166,-122.753,3.69,98,100,2.06,CA,1730110511
237,aldan,58.6031,125.3894,-5.64,97,99,1.7,RU,1730110512
238,cidreira,-30.1811,-50.2056,18.9,76,2,6.96,BR,1730110515
239,bamboo flat,11.7,92.7167,30.05,74,40,4.12,IN,1730110460
240,oral,51.2333,51.3667,5.99,56,0,2.0,KZ,1730110518
241,chul'man,56.8479,124.9104,-8.91,98,95,1.37,RU,1730110519
242,al mijlad,11.0333,27.7333,28.45,14,93,4.84,SD,1730110520
243,zhangzhou,24.5133,117.6556,24.96,95,98,0.22,CN,1730110522
244,ribas do rio pardo,-20.4431,-53.7592,22.96,83,89,2.43,BR,1730110523
245,lautoka,-17.6167,177.4667,26.92,74,75,0.0,FJ,1730110509
246,khandyga,62.6667,135.6,-18.13,97,100,0.62,RU,1730110525
247,mahina,-17.5065,-149.489,23.87,78,0,1.03,PF,1730110527
248,illizi,26.4833,8.4667,33.89,13,6,0.67,DZ,1730110528
249,cangucu,-31.395,-52.6756,12.89,83,0,1.4,BR,1730110529
250,al hayy,32.1735,46.0433,28.1,10,0,7.99,IQ,1730110530
251,salanso,12.1833,-4.0833,31.96,33,97,3.08,BF,1730110532
252,verkhneural'sk,53.8769,59.2106,2.92,64,100,3.03,RU,1730110533
253,punta arenas,-53.15,-70.9167,8.06,76,75,13.38,CL,1730110534
254,tarinkot,32.6268,65.8733,23.8,20,1,4.74,AF,1730110535
255,fontenay-le-comte,46.5833,-1.0,13.25,80,97,1.59,FR,1730110536
256,binhe,32.6883,112.8275,21.02,45,29,1.79,CN,1730110538
257,crane,31.3974,-102.3501,20.33,55,12,8.81,US,1730110539
258,malanje,-9.5402,16.341,26.69,59,98,0.82,AO,1730110540
259,bozdogan,37.6713,28.314,20.34,15,1,1.66,TR,1730110541
260,ribeira brava,32.65,-17.0667,22.06,65,52,3.34,PT,1730110543
261,saint-flour,45.0833,3.0,14.38,72,35,1.68,FR,1730110544
262,luwuk,-0.9516,122.7875,27.18,75,69,2.17,ID,1730110546
263,touros,-5.1989,-35.4608,27.51,67,35,7.82,BR,1730110434
264,franceville,-1.6333,13.5836,23.57,94,100,1.09,GA,1730110549
265,hamilton,39.1834,-84.5333,5.52,86,0,2.57,US,1730110381
266,molochnoye,59.2917,39.6787,4.39,77,94,5.27,RU,1730110551
267,inebolu,41.9747,33.7608,16.5,63,1,1.78,TR,1730110553
268,seagoville,32.6396,-96.5383,22.65,73,0,3.09,US,1730110555
269,vernon,50.2581,-119.2691,7.56,82,100,3.09,CA,1730110556
270,alzamay,55.5562,98.6644,4.34,86,100,2.77,RU,1730110558
271,nha trang,12.25,109.1833,30.0,87,100,2.86,VN,1730110287
272,colonia,50.9333,6.95,17.19,82,100,2.06,DE,1730110560
273,kirensk,57.7853,108.1119,-1.2,95,98,0.85,RU,1730110561
274,la sarre,48.8002,-79.1996,-3.79,65,57,1.45,CA,1730110563
275,kailua-kona,19.6406,-155.9956,24.98,84,20,1.54,US,1730110446
276,carcarana,-32.8568,-61.1533,17.52,65,0,2.82,AR,1730110565
277,eydhafushi,5.1033,73.0708,27.83,82,69,7.59,MV,1730110566
278,ta`u,-14.2336,-169.5144,26.67,80,44,7.56,AS,1730110568
279,uturoa,-16.7333,-151.4333,25.45,73,12,4.75,PF,1730110530
280,tindouf,27.6711,-8.1474,20.25,42,0,8.23,DZ,1730110570
